关于大数据的特征疑问,看到一篇文章说，大数据应该是全息可见的，即一般研究人员和开发人员可以自如获取数据的逻辑片段并进行分析处理。这里如何理解这个“全息可见”？另外，如何实现一般研究人员和开发人员可以自如获取数据的逻辑片段并进行分析处理？,,2017/8/3
大数据的应用,在将来，老龄化加重，大数据也将会普遍应用于商业，战争乃至生活的各个方面，但作为一个使用智能手机都有点困难的老年人，普通百姓该如何去运用好大数据，让自己的生活变得更加舒适方便呢,,2017/8/2
数据库的开放性,数据库的开放性程度，目前已经达到了什么样的程度？,,2017/8/2
开源数据库POSTGRESQL响应客户端连接请求的后台进程是？,开源数据库POSTGRESQL响应客户端连接请求的后台进程是？,,2017/7/31
大数据分析工程师应具备哪些素质或知识或技能？,大数据分析工程师应具备哪些素质或知识或技能？,"熟悉和掌握大数据思维，较强的自学能力，扎实的编程基本功数量掌握大数据算法和系统",2017/7/28
网络表示学习算法如何理解？,网络表示学习算法如何理解？,,2017/7/28
数据库的加密等安全防护对性能的影响,目前，网络安全法的实施，使大家更加重视数据安全，前两年我们尝试用数据加密存储设备对数据进行加密，影响性能较大，目前主流数据加密产品对性能影响是否已经较小？,,2017/7/28
hadoop和spark三种共存方式各自优缺点是什么？,hadoop和spark三种共存方式各自优缺点是什么？,,2017/7/28
MISRA-GRIES算法的误差的上界是？,MISRA-GRIES算法的误差的上界是？,算法执行减一操作的次数,2017/7/31
哪些机器学习模型属于混合模型？,哪些机器学习模型属于混合模型？,课件中有bagging、boosting，还有其他的混合模型吗？Adaboost，Random Forest,2017/7/28
内存OLTP数据库与内存OLAP数据库的区别有哪些？,内存OLTP数据库与内存OLAP数据库的区别有哪些？,,2017/7/27
内存数据库的主要优化技术,内存数据库的主要优化技术,面向cache的存储访问优化及查询处理优化技术 ；面向SIMD的查询处理优化技术；面向新型GPU、Phi、FPGA等众核处理的高并行查询处理技术 ,2017/7/27
OLTP数据库,代表性的内存OLTP数据库包括哪些？,代表性的内存OLTP数据库包括：IBM SolidDB，Oracle Timesten，VoltDB,2017/7/27
哪些硬件加速器可以用于加速内存数据库查询查询处理？,哪些硬件加速器可以用于加速内存数据库查询查询处理？,,2017/7/27
老师，什么是单指令多数据的向量算法,老师，什么是单指令多数据的向量算法,,2017/7/26
慢更新中的update是否违背数据仓库不可更新的特征？,慢更新中的update是否违背数据仓库不可更新的特征？,,2017/7/19
DES加密问题,我看网上的DES加密居然有在线加密和解密，这种加密手段是不是已经不安全了？,这个问题问得很好！DES的安全性人们已经研究了很多年，目前对DES算法的分析和攻击主要有穷举攻击、差分及线性分析，尤其是上世纪90年代，量子算法研究取得进展，量子搜索算法Grover算法可以破译DES。这样一来DES加密的确不安全了。但是破译也需要一定的代价。实际使用加密算法的时候需要评估保密级别和要求、预算、用户体验、效率等，权衡，选择一种适当的加密算法。,2017/6/27
怎么看树的节点是不是频繁的，一直没看懂,那个树由底向上，进行广度优先遍历，我一直没有听懂，最小支持度设定的是多少？ab，ae和bce为什么不是频繁的？这个是怎么比的？,这位同学好。关于你的问题，说明如下：你提到的由底向上的图只是个示意图，主要目的是为了展示算法进行宽度优先搜索的过程。由于这里并没有给出数据集，也无法计算支持度。所以这里说某结点频繁只是假设它频繁，不频繁也是假设其不频繁。具体计算支持度以及根据支持度决定结点是否频繁需要看后面的算法的例子。希望能够帮到你。,2017/6/27
在现有技术条件下，OLAP和数据挖掘是必须要建数据仓库吗？,在现有技术条件下，OLAP和数据挖掘是必须要建数据仓库吗？,"数据仓库是一种解 决数据使用的高效技术， OLAP 则将数据通过多维视角和多种层次向用户进行多 方式的呈现， 数据挖掘为之提供了更好的决策支持和服务，同时促进了数据仓库 技术的发展我认为是看数据量的，一般的数据量下。一般的实际项目中个，OLAP和OLTP是用不同的类型时间，辅之以数据同步工具。另外，什么是OLAP，数据仓库是什么概念……这问得不太合适的。",2017/6/23
目前内存数据库的使用比重是多少,"目前国内和国外的软件开发公司或者其他机构里使用内存数据库的多吗？都使用的是什么内存数据库？",这个不清楚，不过现在亚马逊在打内存数据库广告：内存数据库，亚马逊AWS-全球云服务12个月免费，我想应用应该很广。,2017/6/20
