高级篇,,,,,,
序号,章节,具体知识点,标题,内容,回答,提问时间
1,第3讲 函数依赖及范式的概念,"关系范式的概念,第二范式（2NF）",关系数据理论的一个题目,"R<U,F>,U={W,X,Y,Z,T,V},F={W->XY,XY->W,WZ->TV,XYZ->TV}（1）求F的最小依赖集。（2）求R的所有候选码。（3）根据函数依赖关系，确定R最高能到第几范式。",,2017/1/7
2,第22讲 并发调度的可串行性,可串行化调度与冲突可串行化调度,冲突可串行化的。,"调度r1(A); r2(A); r3(B); w1(A); r2(C); r2(B); w2(B); w1(C);是冲突可串行化的？此题是正确的吗？我感觉不是，答案上说是，我画出来的图没有环路。","r1(A); r2(A); r3(B); w1(A); r2(C); r2(B); w2(B); w1(C);是冲突可串行化的。这个调度可以通过无冲突交换变换为：r3(B);r2(A);r2(C); r2(B); w2(B); r1(A); w1(A); w1(C);即T3－T2－T1的执行顺序。",2017/1/8
3,第3讲 函数依赖及范式的概念,什么是函数依赖,请问老师函数依赖的本质是什么？,请问老师函数依赖的本质是什么？,,2016/12/25
4,"第11讲 数据库编程之嵌入式SQL部分",初识嵌入式SQL,在无主键的表结构中怎么实现查询结果分页,老师您好，请教一个实践操作中遇到的问题：在一个没有设置主键的数据表中，能否做查询结果分页呢？比如说，先取出前100条，再取第101-200条，……，以此类推，这种情况下应该怎么写order by？,,2016/12/24
5,"第13讲 数据库编程之ODBC（续）",ODBC实例,在跨服务器的情况下，拷贝数据库表应该怎样操作？,"向老师们请教一个实践中遇到的问题，我需要实现跨服务器拷贝数据库表的功能，源库和目的库都是MS SQL Server，应该怎样写执行语句呢？注：为了兼容其它类SQL的数据库，最好不使用SQL Server特有的链接服务器的方法",,2016/12/24
6,第18讲 恢复技术,恢复策略,"测验题答案异议",日志文件时，先写数据，在写日志登记日志文件时，先写数据，在写日志。答案是对的。有错误,系统答案有问题，我也遇到这道题目。  “先写数据再写日志” 判断题，提交的答案是 错误，结果没得分,2016/12/9
7,第15讲 关系查询优化,代数优化,这里启发式规则有矛盾,方法（1）利用等价变化规则4的说明是否反了。应该是把分开的选择操作变化为合并的选择操作？,"先分解再合并。不分解的话，一大驼子的选择条件，如何能做到下推到操作对象近邻去呢？如果在同一个操作对象（关系）上的选择条件有多个，这个时候再将他们合并为一个多条件的选择。",2016/11/15
8,数据库安全性,数据库安全性,未来使用云端存储，这样如何才能保证数据库和数据的安全？,数据都存在云端私人电脑里，这样岂不是很容易被操控窃取？,这是个非常好的问题，既有研究意义，又有实际价值，目前许多研究课题都涉及这个领域,2016/10/4
9,第5讲 数据库设计,什么是数据库设计，数据库设计的基本步骤,如何处理基于OO开发方法的数据库设计？,"我们把数据库相关内容划分为两门课程：一门课介绍数据库原理，一门课介绍数据库应用系统的实现，其中后者涉及数据库设计的内容。教材所讲的规范设计法基本上可以归属于结构化的开发方法，但当前OO方法是主流，我们想从OO角度介绍数据库设计。王老师补充了基于UML的设计方法，我们从用例分析中抽取出实体类及其关联关系，得到UML版本的实体－联系图；但对后续的逻辑设计、规范化设计、物理设计如何处理，没有好得思路。有同事提出现在OR映射理论已经很成熟，据OR映射得到数据库的基表，其中的规范化设计又不知道哪里处理为好。     恳请各位来是给于指导、建议、意见！",,2016/9/26
10,第6讲 数据库设计之需求分析,数据库设计之需求分析,数据库的需求分析很重要，是否能推荐这方面的专门书籍？,数据库的需求分析很重要，但数据库方面的书好象这方面都很简略，是否能推荐这方面的专门书籍？,需求分析是软件工程的一个重要分支。你可以参考软件工程的书籍。,2016/9/28
11,第3讲 函数依赖及范式的概念(续),第三范式（3NF）,老师您好，有关于第三讲 3NF 中，R∈3NF，则 R∈2NF的疑问。,"以课件中的 S-L-C ( Sno ,Cno ,Sdept ,Sloc ,Grade ) 举例 ：将 S-L-C 模式按 3NF 分解，得：① SC (Sno , Cno , Sdept , Grade ) , 主码为 (Sno,Cno)② DL (Sdept , Sloc) , 主码为 (Sdept).//此处原来的 ② DL (Sdept , Grade)是手误，抱歉。疑惑：分解后的两个关系模式，均不存在传递函数依赖，满足 3NF 的定义。但模式 ① 中的 Sdept 却部分依赖于主码，因为 Sno -> Sdept. 所以 ① 并不属于 2NF.
不知是否我的理解有误，望老师能够解惑","同学，你再好好看看PPT或视频。没有你问的情况。应该是：在 “关系范式的概念，1NF 2NF” 课件中讲到：将 S-L-C 模式 分解，得：① SC (Sno , Cno , Grade ) , 主码为 (Sno,Cno)② SL (Sno ,sdept,sloct) , 主码为 (Sno).他们都从1NF上升为2NF。当然，随着后面讲解，SC (Sno , Cno , Grade ) 实际已经达到了BCNF.",2016/9/22
12,第3讲 函数依赖及范式的概念,什么是函数依赖,由下面的关系表，能否得出Sname→ Sage? ,答案应该是不能确定吧因为X函数确定Y，是指X中的所有元组，只看到其中的一部分数据表，不能得出任何确定的函数依赖关系，老师，我分析的对吗,,2016/9/22
13,第8讲 数据库逻辑设计,E-R模型向关系模型的转换,数据逻辑设计与数据库设计的区别？,数据逻辑设计与数据库设计的区别？,个人见解：数据逻辑设计注重数据之间的关联关系，数据库设计除考虑这些关系外，还有数据冗余、数据取值、存储类型。,2016/9/21
14,"第3讲 函数依赖及范式的概念",什么是函数依赖,"到底什么是全码？",没听懂全码的讲解，能给个再直观的例子么,关系模式演奏会中，有三个属性演奏家，演奏曲，观众，他们都不是一一对应的关系，三个中的任何一个都不能作为这个关系中的主码，他们又都完全属于关系模式演奏会，且只能作为候选码,2016/9/20
15,第6讲 数据库设计之需求分析,"数据库设计之需求分析",对数据库设计的需求分析阶段数据字典不理解,对数据库设计的需求分析阶段数据字典不理解，不知道数据字典的数据项、数据结构、数据流、数据存储以及处理过程到底如何在计算机中表达，比如拿出一个实际的例子完整的讲一下。有点抽象，要是自己写，不会,"1  需求分析中得到的数据字典是需求分析产生的文档。不存储在 运行的数据库中。2  在讲课时我提到了这里的数据字典和DBMS生成的数据字典是不同的。   DBMS生成的数据字典是存储在数据库中的系统内部文件。3  数据字典的数据项、数据结构、数据流、数据存储以及处理过程，在讲课时我都一一      给出了示例。你再复习一下教科书或讲课视频",2016/9/19
16,"第3讲 函数依赖及范式的概念(续)",第三范式（3NF）,关于3NF，S-L关系模式中非主属性Sloc传递函数依赖于Sno的疑问？,"在S-L（Sno,Sdept,Sloc)关系模式中存在这3种（Sno->Sdept,Sno->Sloc,Sdept->Sloc）完全函数依赖对吗？同时还存在（Sno--传递-->Sdept对吗？课件上讲，对于此关系模式还需近一步规范的原因是：Sloc传递函数依赖于Sno,即非主属性传递函数依赖码，我这里就有点疑惑，这里不是存在Sloc-F->Sno吗？还是说只要非主属性还存在传递函数依赖码,都还要进行规范化.","1，S-L关系模式属于2NF2，S-L关系存在大量的冗余，以及在增删改时存在异常，而原因则是由于关系中存在传递依赖。3，所以，当关系中存在传递依赖时，需要规范化",2016/9/19
17,"第3讲 函数依赖及范式的概念",什么是函数依赖,关于外码的疑问,"在外码的定义6.5中，举例 关系模式 SC(Sno, Cno, Grade)，S(Sno, Sdept, Sage)里， Sno不是SC 的码但是 S的码。为什么 Sno不是SC 的码，而只是SC的主属性？ 这个“码”指的是候选码还是主码？",sc的主码是（sno，cno），因为单靠sno一个属性不能区分sc中的任意两个元组,2016/9/11
18,"第3讲 函数依赖及范式的概念","关系范式的概念,第二范式（2NF)",课程号为什么是主属性,老师，在讲第二范式时候，举得例子里面，课程号为什么是主属性。,"可以唯一识别元组的属性 或属性组 称为码。包含在码中的属性称为主属性。(学号,课程号)是主码，主码所对应的属性是主属性，所以对于选课（学号，课程号，成绩）这个关系，它的主码是1个即(学号,课程号)，它的主属性有2个即学号、课程号",2016/9/5
19,第8讲 数据库逻辑设计,E-R模型向关系模型的转,关于实体之间的联系与函数依赖的转换问题,"实体间是不是只有一对一关系才能转化为函数依赖？多对多关系应该怎么转换？",,2017/6/22
20,"第15讲 关系查询优化（续）",物理优化,代价估算,"索引扫描法的比较查询（<,<=,>,>=）cost=L+Y/2+B/2问题是，B+树不是按叶子节点访问么？为什么要加上B/2 ？",,2017/6/21
21,第15讲 关系查询优化,代数优化,查询树的启发式优化,教材285页，第5条，把内结点分组指的是什么？,,2017/6/21
22,第12讲 数据库编程之过程化SQL,存储过程与函数,过程化SQL中的函数,过程化SQL中的函数的返回值存到了哪里呢？,,2017/6/20
23,第21讲 封锁技术,封锁以及封锁协议,三级封锁协议,三级封锁协议中，对于一个先读取A再修改并写回A的事务，应该如何加锁？是否上X锁的优先级比S锁高？,按书上318页图11.7的例子是只加了x锁,2017/6/20
24,第4讲 数据依赖的公理系统（续）,模式分解的基本方法,无损连接性的判定：教材上的197页定理6.5,"教材上的197页定理6.5：如果U1并U2—>U1-U2属于F+或。。。，则具有无损连接性可根据分解的定义U1与U2不是应该没有相互包含的关系么？怎么能有U1-U2",,2017/6/19
25,第3讲 函数依赖及范式的概念(续),BC范式（BCNF），规范化小结,多值依赖的传递性,"多值依赖具有传递性：若X->Y,Y->Z,则X->Z-Y
为什么要是Z-Y,而不是Y。能不能举出反例？",,2017/6/19
26,第4讲 函数依赖及范式的概念(续),BC范式（BCNF），规范化小结,bcnf范式,全码的关系模式为什么不是bcnf范式呀,"我觉得全码的关系模式为什么不是bcnf范式。因为：对于R（U），U为全码。反证：如果存在一个函数依赖X→Y（Y不包含于X）且其中X不是全码，那么U-Y就一定能决定Y（因为U-Y包含了X），那么U-Y就构成了一个候选码，与全码的定义矛盾。",2017/6/17
27,第21讲 封锁技术,封锁以及封锁协议,封锁,事务T对A加S锁，还没有释放，那此时T还能对A加X锁么,我认为是可以的，只有事务T1对加S锁，事务T2才不能对A加X锁，是针对不同事务的,2017/6/15
28,"第3讲 函数依赖及范式的概念(续)",BC范式（BCNF），规范化小结,几大范式的具体差异是什么？,不同范式怎么区分？,,2017/6/14
29,"第23讲 封锁的粒度以及小结",封锁的粒度以及小结,多粒度封锁，加IS锁是否也会对父节点本身加锁,多粒度封锁，加IS锁是否也会对父节点本身加锁还是只对此节点的子节点加锁？,IS锁就是给父节点加的锁，同时意向给子节点加S锁,2017/6/14
30,"第3讲 函数依赖及范式的概念","关系范式的概念,第二范式（2NF）",对第一范式的疑问,"老师，我还有对第一范式的另一个疑问，比如对联系人实体，地址属性怎样理解不可分割？如第一种设计 联系人实体(用户id,用户名，地址)有这样的结构(1，王XX,山东省烟台市) 第二种设计 联系人实体(用户id,用户名，省，市)有这样的结构 (2，李XX,山东省，烟台市) 第一个问题 因为第一范式要求属性为不可分割，第一种设计属于第一范式吗？如果属于第一范式，地址属性根据需求其实可以分割为省市区，第二种设计明显更便于信息的统计。 第二个问题 第一范式中属性的是否不可分割是应该根据具体设计的需求来判断还是根据只要是基本数据类型(比如string int date，比如第一种设计中地址是string型不要继续分割)就可以认为不可分割来判断？",,2017/6/12
31,"第22讲 并发调度的可串行性",可串行化调度与冲突可串行化调度,冲突可串行化,"调度r1(A); r2(A); r3(B); w1(A); r2(C); r2(B); w2(B); w1(C);是冲突可串行化的。测试中这一题答案给的正确。但w1(A)如何可与r2(A)交换位置？","先把r1（A）放到r3（B）后再把r2(C); r2(B); w2(B);放到r3（B）前",2017/6/8
32,第18讲 恢复技术,恢复的实现技术,数据库恢复技术,"反向扫描日志，找出在故障发生前已经提交的事务将其加入REDO-LIST，同时找出故障发生时尚未完成的事务将其加入UNDO-LIST。测试中这句话为什么错误？",,2017/6/8
33,"第22讲 并发调度的可串行性",两段锁协议,有关数据锁的相容,T1对事务加IS锁之后，T2为什么还可以对数据加IX锁？不太懂加在A的后代节点上，所以有可能不冲突的说法,,2017/6/8
34,第11讲 数据库编程之嵌入式SQL部分（续）,动态SQL,动态SQL,"希望老师上课仔细讲一下动态SQL,感觉没怎么懂，尤其是对于动态参数的用法",,2017/6/7
35,"第15讲 关系查询优化（续）",物理优化,代价估算,老师，复习的时候可不可以着重在讲讲代价估算的计算,,2017/6/7
36,第3讲 函数依赖及范式的概念(续),第三范式（3NF）,投影分解法,老师，投影分解法是什么样的方法,参考《数据库系统概论（第五版）》第196页6.4.2和6.4.3,2017/5/31
37,第15讲 关系查询优化,代数优化,投影对查询效率的影响,为什么将投影操作移向叶端可以提高查询效率？,如果一个大表有非常多的属性，比如200个属性，而查询请求只涉及其中的极少量属性，比如3个属性，先进行投影可以极大地缩小关系的尺寸。,2017/5/21
38,第3讲 函数依赖及范式的概念,什么是函数依赖,求关系R的候选码,"已知 关系模式 R<U,F>,    U = {A,B,C,D,E,G}     F = {AC→B，CB→D，A→BE，E→GC}求关系R的候选码？",,2017/5/2
39,实验平台,实验平台,打不开,打不开,,2017/4/21
40,第3讲 函数依赖及范式的概念,什么是函数依赖,老师，完全函数依赖与函数的一一映射是一回事吗？,老师，完全函数依赖与函数的一一映射是一回事吗？,,2017/4/13
41,第3讲 函数依赖及范式的概念(续),第三范式（3NF）,关于范式的问题,"老师我有几个问题：就目前来看，范式等级越高越要注意函数之间的依赖关系，那么是不是为了消除数据冗余和插入修改异常的问题，就要尽量设计范式等级更高的表？这就又带来了一个问题，因为范式等级高而产生的更多拆分表之间相同属性是不是一种数据冗余呢？",,2017/4/11
42,证书,证书,认证证书,老师您好，我想问一下，学完咱们的课程，有没有纸质版的认证证书？证书上有没有二维码？谢谢,纸质的应该收费，100元，电子的是免费的，发现以前的证书好像没有二维码，有证书编号,2017/4/7
43,第3讲 函数依赖及范式的概念,什么是函数依赖,候选码是最小的超码？,候选码是最小的超码，那这句的意思是候选码就是超码，超码的真子集不能是候选码？这不矛盾吗？,"这个问题问得非常好。问题回答如下：（1） 候选码：设K为R<U,F>中的属性或属性组合，若U完全函数依赖K，则K为R的候选码。（2） 超码：设K为R<U,F>中的属性或属性组合，若U函数依赖K，则K为R的候选码。 需要注意的是，若K是超码，则U可以是部分函数依赖K或完全函数依赖K，若是后者，则K为R的候选吗。显然，候选码是最小的超码，超码的真子集可以时候选码。",2017/11/25
44,第3讲 函数依赖及范式的概念(续),BC范式（BCNF），规范化小结,关系模式码及范式判断,"已知关系模式R，U={A,B,C,D,E,G}，F={AC->B,CB->D,A->BE,E->GC}，确定关系模式R的码？并判断属于第几范式？请问老师这个的详细解析有么？",,2018/1/7
45,第7讲 E-R模型及设计,E-R图及其设计,怎么确定联系的属性?,怎么确定联系的属性?,一张主表可能对应一张或多张从表，他们之间通过主键和外键关联。,2018/7/1
46,"第7讲 E-R模型及设计",E-R图及其设计视频,联系类型,例题1材料和仓库之间不应该是多对多的关系吗，为啥是一对多的关系,,2018/6/17
47,第3讲 函数依赖及范式的概念(续),BC范式（BCNF），规范化小结,候选码,(s，t)→j  t→j   (s，t)→t已经是部分函数依赖了，为什么(s，t)还是候选码？,你好，注意理解候选码的定义。,2018/6/14
48,第7讲 E-R模型及设计,E-R图及其设计,材料：仓库,如果一种材料特别多一个仓库装不呢？,如果多个仓库来存放材料，也是上面的表示方法，1<-->n表示的不是1个仓库、n个材料，而是说仓库与材料是1对n的关系，即多个材料存放于一个仓库。,2018/5/9
49,第3讲 函数依赖及范式的概念(续),BC范式（BCNF），规范化小结,候选码,"思考题：已知关系模式R，U={A,B,C,D,E,G}，F={AC->B,CB->D,A->BE,E->GC}，确定关系模式R的码？","A->B(1)，A->E(2)，CB->D(3)，E->G(4)，E->C(5)，(2)(4)=> A->G(6)，(2)(5)=> A->C(7)，(1)(7)(3) => A->D(8)，于是A->BC D E，由候选码定义得到A是候选码",2018/5/8
50,第3讲 函数依赖及范式的概念(续),BC范式（BCNF），规范化小结,函数依赖问题,S函数依赖T  返回的T（元组）只能是1条呢还是可以多条,T是元组，S<----T？是不是表述错了？,2018/5/1
51,第4讲 数据依赖的公理系统（续）,模式分解的基本方法,模式分解,求解:有什么快捷的方法判断一个分解是否无损连接和是否保持函数依赖,,2018/4/2
